year,vegetable,group,harvest_t,source_file,source_cell,source_symbol
1982,はくさい,葉茎菜類,1638000,leaves.xls,C17,
1982,トマト,果菜類,890500,fruits.xls,X17,
1982,レタス,葉茎菜類,435200,leaves.xls,BQ17,
1982,にんじん,根菜類,627100,roots.xls,R17,
1982,きゅうり,果菜類,1071000,fruits.xls,C17,
1982,ねぎ,葉茎菜類,520800,leaves.xls,CO17,
1982,なす,果菜類,608400,fruits.xls,O17,
1982,ほうれんそう,葉茎菜類,380300,leaves.xls,AG17,
1982,ブロッコリー,葉茎菜類,,leaves.xls,BN17,…
1982,ピーマン,果菜類,174700,fruits.xls,AV17,
1982,さといも,根菜類,400100,roots.xls,AS17,
1983,ばれいしょ,根菜類,3566000,roots.xls,AJ18,
1983,キャベツ,葉茎菜類,1568000,leaves.xls,R18,
1983,たまねぎ,葉茎菜類,1170000,leaves.xls,DG18,
1983,だいこん,根菜類,2548000,roots.xls,C18,
1983,はくさい,葉茎菜類,1507000,leaves.xls,C18,
1983,トマト,果菜類,790800,fruits.xls,X18,
1983,レタス,葉茎菜類,434200,leaves.xls,BQ18,
1983,にんじん,根菜類,628600,roots.xls,R18,
1983,きゅうり,果菜類,1048000,fruits.xls,C18,
1983,ねぎ,葉茎菜類,548500,leaves.xls,CO18,
1983,なす,果菜類,629400,fruits.xls,O18,
1983,ほうれんそう,葉茎菜類,381400,leaves.xls,AG18,
1983,ブロッコリー,葉茎菜類,,leaves.xls,BN18,…
1983,ピーマン,果菜類,168200,fruits.xls,AV18,
1983,さといも,根菜類,393200,roots.xls,AS18,
1984,ばれいしょ,根菜類,3707000,roots.xls,AJ19,
1984,キャベツ,葉茎菜類,1614000,leaves.xls,R19,
1984,たまねぎ,葉茎菜類,1099000,leaves.xls,DG19,
1984,だいこん,根菜類,2631000,roots.xls,C19,
1984,はくさい,葉茎菜類,1549000,leaves.xls,C19,
1984,トマト,果菜類,804200,fruits.xls,X19,
1984,レタス,葉茎菜類,477500,leaves.xls,BQ19,
1984,にんじん,根菜類,643000,roots.xls,R19,
1984,きゅうり,果菜類,1070000,fruits.xls,C19,
1984,ねぎ,葉茎菜類,562600,leaves.xls,CO19,
1984,なす,果菜類,636600,fruits.xls,O19,
1984,ほうれんそう,葉茎菜類,366400,leaves.xls,AG19,
1984,ブロッコリー,葉茎菜類,,leaves.xls,BN19,…
1984,ピーマン,果菜類,180300,fruits.xls,AV19,
1984,さといも,根菜類,347100,roots.xls,AS19,
1985,ばれいしょ,根菜類,3727000,roots.xls,AJ20,
1985,キャベツ,葉茎菜類,1589000,leaves.xls,R20,
1985,たまねぎ,葉茎菜類,1326000,leaves.xls,DG20,
1985,だいこん,根菜類,2544000,roots.xls,C20,
1985,はくさい,葉茎菜類,1478000,leaves.xls,C20,
1985,トマト,果菜類,802400,fruits.xls,X20,
1985,レタス,葉茎菜類,459000,leaves.xls,BQ20,
1985,にんじん,根菜類,662600,roots.xls,R20,
1985,きゅうり,果菜類,1033000,fruits.xls,C20,
1985,ねぎ,葉茎菜類,552600,leaves.xls,CO20,
1985,なす,果菜類,598500,fruits.xls,O20,
1985,ほうれんそう,葉茎菜類,382500,leaves.xls,AG20,
1985,ブロッコリー,葉茎菜類,,leaves.xls,BN20,…
1985,ピーマン,果菜類,171600,fruits.xls,AV20,
1985,さといも,根菜類,375100,roots.xls,AS20,
1986,ばれいしょ,根菜類,4073000,roots.xls,AJ21,
1986,キャベツ,葉茎菜類,1667000,leaves.xls,R21,
1986,たまねぎ,葉茎菜類,1252000,leaves.xls,DG21,
1986,だいこん,根菜類,2655000,roots.xls,C21,
1986,はくさい,葉茎菜類,1513000,leaves.xls,C21,
1986,トマト,果菜類,816200,fruits.xls,X21,
1986,レタス,葉茎菜類,500500,leaves.xls,BQ21,
1986,にんじん,根菜類,670800,roots.xls,R21,
1986,きゅうり,果菜類,1040000,fruits.xls,C21,
1986,ねぎ,葉茎菜類,573000,leaves.xls,CO21,
1986,なす,果菜類,593700,fruits.xls,O21,
1986,ほうれんそう,葉茎菜類,385500,leaves.xls,AG21,
1986,ブロッコリー,葉茎菜類,,leaves.xls,BN21,…
1986,ピーマン,果菜類,177800,fruits.xls,AV21,
1986,さといも,根菜類,384900,roots.xls,AS21,
1987,ばれいしょ,根菜類,3955000,roots.xls,AJ22,
1987,キャベツ,葉茎菜類,1631000,leaves.xls,R22,
1987,たまねぎ,葉茎菜類,1307000,leaves.xls,DG22,
1987,だいこん,根菜類,2534000,roots.xls,C22,
1987,はくさい,葉茎菜類,1432000,leaves.xls,C22,
1987,トマト,果菜類,837000,fruits.xls,X22,
1987,レタス,葉茎菜類,496800,leaves.xls,BQ22,
1987,にんじん,根菜類,669300,roots.xls,R22,
1987,きゅうり,果菜類,1026000,fruits.xls,C22,
1987,ねぎ,葉茎菜類,563500,leaves.xls,CO22,
1987,なす,果菜類,607200,fruits.xls,O22,
1987,ほうれんそう,葉茎菜類,400100,leaves.xls,AG22,
1987,ブロッコリー,葉茎菜類,,leaves.xls,BN22,…
1987,ピーマン,果菜類,172200,fruits.xls,AV22,
1987,さといも,根菜類,391500,roots.xls,AS22,
1988,ばれいしょ,根菜類,3763000,roots.xls,AJ23,
1988,キャベツ,葉茎菜類,1573000,leaves.xls,R23,
1988,たまねぎ,葉茎菜類,1251000,leaves.xls,DG23,
1988,だいこん,根菜類,2457000,roots.xls,C23,
1988,はくさい,葉茎菜類,1302000,leaves.xls,C23,
1988,トマト,果菜類,775500,fruits.xls,X23,
1988,レタス,葉茎菜類,495400,leaves.xls,BQ23,
1988,にんじん,根菜類,678600,roots.xls,R23,
1988,きゅうり,果菜類,975300,fruits.xls,C23,
1988,ねぎ,葉茎菜類,522400,leaves.xls,CO23,
1988,なす,果菜類,564200,fruits.xls,O23,
1988,ほうれんそう,葉茎菜類,396000,leaves.xls,AG23,
1988,ブロッコリー,葉茎菜類,,leaves.xls,BN23,…
1988,ピーマン,果菜類,170400,fruits.xls,AV23,
1988,さといも,根菜類,397300,roots.xls,AS23,
1989,ばれいしょ,根菜類,3587000,roots.xls,AJ24,
1989,キャベツ,葉茎菜類,1623000,leaves.xls,R24,
1989,たまねぎ,葉茎菜類,1269000,leaves.xls,DG24,
1989,だいこん,根菜類,2449000,roots.xls,C24,
1989,はくさい,葉茎菜類,1334000,leaves.xls,C24,
1989,トマト,果菜類,773100,fruits.xls,X24,
1989,レタス,葉茎菜類,520900,leaves.xls,BQ24,
1989,にんじん,根菜類,685200,roots.xls,R24,
1989,きゅうり,果菜類,975000,fruits.xls,C24,
1989,ねぎ,葉茎菜類,541900,leaves.xls,CO24,
1989,なす,果菜類,567400,fruits.xls,O24,
1989,ほうれんそう,葉茎菜類,378000,leaves.xls,AG24,
1989,ブロッコリー,葉茎菜類,88800,leaves.xls,BN24,
1989,ピーマン,果菜類,182400,fruits.xls,AV24,
1989,さといも,根菜類,363600,roots.xls,AS24,
1990,ばれいしょ,根菜類,3552000,roots.xls,AJ25,
1990,キャベツ,葉茎菜類,1544000,leaves.xls,R25,
1990,たまねぎ,葉茎菜類,1317000,leaves.xls,DG25,
1990,だいこん,根菜類,2336000,roots.xls,C25,
1990,はくさい,葉茎菜類,1220000,leaves.xls,C25,
1990,トマト,果菜類,767100,fruits.xls,X25,
1990,レタス,葉茎菜類,517600,leaves.xls,BQ25,
1990,にんじん,根菜類,654600,roots.xls,R25,
1990,きゅうり,果菜類,931100,fruits.xls,C25,
1990,ねぎ,葉茎菜類,557700,leaves.xls,CO25,
1990,なす,果菜類,554400,fruits.xls,O25,
1990,ほうれんそう,葉茎菜類,384100,leaves.xls,AG25,
1990,ブロッコリー,葉茎菜類,89100,leaves.xls,BN25,
1990,ピーマン,果菜類,171300,fruits.xls,AV25,
1990,さといも,根菜類,315300,roots.xls,AS25,
1991,ばれいしょ,根菜類,3609000,roots.xls,AJ26,
1991,キャベツ,葉茎菜類,1569000,leaves.xls,R26,
1991,たまねぎ,葉茎菜類,1307000,leaves.xls,DG26,
1991,だいこん,根菜類,2317000,roots.xls,C26,
1991,はくさい,葉茎菜類,1154000,leaves.xls,C26,
1991,トマト,果菜類,746100,fruits.xls,X26,
1991,レタス,葉茎菜類,520200,leaves.xls,BQ26,
1991,にんじん,根菜類,660200,roots.xls,R26,
1991,きゅうり,果菜類,889100,fruits.xls,C26,
1991,ねぎ,葉茎菜類,516700,leaves.xls,CO26,
1991,なす,果菜類,514000,fruits.xls,O26,
1991,ほうれんそう,葉茎菜類,373700,leaves.xls,AG26,
1991,ブロッコリー,葉茎菜類,89800,leaves.xls,BN26,
1991,ピーマン,果菜類,155700,fruits.xls,AV26,
1991,さといも,根菜類,353400,roots.xls,AS26,
1992,ばれいしょ,根菜類,3494000,roots.xls,AJ27,
1992,キャベツ,葉茎菜類,1614000,leaves.xls,R27,
1992,たまねぎ,葉茎菜類,1397000,leaves.xls,DG27,
1992,だいこん,根菜類,2346000,roots.xls,C27,
1992,はくさい,葉茎菜類,1205000,leaves.xls,C27,
1992,トマト,果菜類,771700,fruits.xls,X27,
1992,レタス,葉茎菜類,535800,leaves.xls,BQ27,
1992,にんじん,根菜類,690300,roots.xls,R27,
1992,きゅうり,果菜類,898900,fruits.xls,C27,
1992,ねぎ,葉茎菜類,565000,leaves.xls,CO27,
1992,なす,果菜類,519400,fruits.xls,O27,
1992,ほうれんそう,葉茎菜類,364900,leaves.xls,AG27,
1992,ブロッコリー,葉茎菜類,101100,leaves.xls,BN27,
1992,ピーマン,果菜類,166500,fruits.xls,AV27,
1992,さといも,根菜類,304600,roots.xls,AS27,
1993,ばれいしょ,根菜類,3390000,roots.xls,AJ28,
1993,キャベツ,葉茎菜類,1513000,leaves.xls,R28,
1993,たまねぎ,葉茎菜類,1367000,leaves.xls,DG28,
1993,だいこん,根菜類,2224000,roots.xls,C28,
1993,はくさい,葉茎菜類,1185000,leaves.xls,C28,
1993,トマト,果菜類,737500,fruits.xls,X28,
1993,レタス,葉茎菜類,493000,leaves.xls,BQ28,
1993,にんじん,根菜類,709200,roots.xls,R28,
1993,きゅうり,果菜類,835500,fruits.xls,C28,
1993,ねぎ,葉茎菜類,505600,leaves.xls,CO28,
1993,なす,果菜類,448800,fruits.xls,O28,
1993,ほうれんそう,葉茎菜類,378400,leaves.xls,AG28,
1993,ブロッコリー,葉茎菜類,92900,leaves.xls,BN28,
1993,ピーマン,果菜類,156100,fruits.xls,AV28,
1993,さといも,根菜類,299000,roots.xls,AS28,
1994,ばれいしょ,根菜類,3377000,roots.xls,AJ29,
1994,キャベツ,葉茎菜類,1511000,leaves.xls,R29,
1994,たまねぎ,葉茎菜類,1109000,leaves.xls,DG29,
1994,だいこん,根菜類,2154000,roots.xls,C29,
1994,はくさい,葉茎菜類,1118000,leaves.xls,C29,
1994,トマト,果菜類,757700,fruits.xls,X29,
1994,レタス,葉茎菜類,528000,leaves.xls,BQ29,
1994,にんじん,根菜類,658300,roots.xls,R29,
1994,きゅうり,果菜類,865500,fruits.xls,C29,
1994,ねぎ,葉茎菜類,524600,leaves.xls,CO29,
1994,なす,果菜類,510100,fruits.xls,O29,
1994,ほうれんそう,葉茎菜類,367300,leaves.xls,AG29,
1994,ブロッコリー,葉茎菜類,84100,leaves.xls,BN29,
1994,ピーマン,果菜類,164800,fruits.xls,AV29,
1994,さといも,根菜類,238400,roots.xls,AS29,
1995,ばれいしょ,根菜類,3365000,roots.xls,AJ30,
1995,キャベツ,葉茎菜類,1544000,leaves.xls,R30,
1995,たまねぎ,葉茎菜類,1278000,leaves.xls,DG30,
1995,だいこん,根菜類,2148000,roots.xls,C30,
1995,はくさい,葉茎菜類,1163000,leaves.xls,C30,
1995,トマト,果菜類,753100,fruits.xls,X30,
1995,レタス,葉茎菜類,537300,leaves.xls,BQ30,
1995,にんじん,根菜類,724700,roots.xls,R30,
1995,きゅうり,果菜類,826500,fruits.xls,C30,
1995,ねぎ,葉茎菜類,533500,leaves.xls,CO30,
1995,なす,果菜類,478400,fruits.xls,O30,
1995,ほうれんそう,葉茎菜類,360400,leaves.xls,AG30,
1995,ブロッコリー,葉茎菜類,78300,leaves.xls,BN30,
1995,ピーマン,果菜類,169300,fruits.xls,AV30,
1995,さといも,根菜類,254300,roots.xls,AS30,
1996,ばれいしょ,根菜類,3087000,roots.xls,AJ31,
1996,キャベツ,葉茎菜類,1539000,leaves.xls,R31,
1996,たまねぎ,葉茎菜類,1262000,leaves.xls,DG31,
